Last Report Year,5 Digit NTDID,4 Digit NTDID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,Primary UZA Name,UZA,UZA Area SQ Miles,UZA Population,2016 Status,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,
2016,00001,0001,King County Department of Transportation - Metro Transit Division(King County Metro),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2016,"$383,107,583","$329,694,739","$275,639,731","$277,424,929","$289,759,749","$342,032,852","$399,974,914","$367,127,087","$483,918,410","$416,810,718","$400,536,050","$493,524,290","$506,818,105","$651,927,092","$509,808,277","$535,030,832","$572,783,766","$651,636,069","$668,646,858","$669,733,012","$867,772,522","$817,791,736","$762,388,692","$782,670,566","$831,702,187","$988,752,004",,,,
2016,00002,0002,Spokane Transit Authority(STA),Active,Full Reporter,Spokane,WA,2010,"Spokane, WA",96,164,"387,847",Existing 2016,"$27,042,832","$27,976,993","$29,374,328","$42,316,768","$37,303,829","$32,192,970","$40,737,394","$33,591,348","$34,253,966","$35,204,499","$37,802,003","$39,682,730","$45,535,339","$40,763,480","$48,952,703","$56,450,544","$64,963,968","$73,982,401","$66,417,392","$67,478,671","$64,728,901","$70,077,825","$65,295,886","$70,699,557","$72,960,135","$73,146,122",,,,
2016,00003,0003,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2016,"$54,776,294","$64,034,797","$44,060,100","$52,209,179","$58,145,467","$50,672,958","$63,142,957","$69,330,047","$75,940,929","$83,031,163","$62,516,343","$75,453,800","$74,596,167","$97,130,128","$103,805,219","$101,860,747","$115,427,096","$132,252,330","$121,813,470","$132,109,408","$130,505,371","$117,485,734","$115,083,767","$128,861,135","$132,886,339","$142,349,888",,,,
2016,00005,0005,Everett Transit(ET),Active,Full Reporter,Everett,WA,2010,"Seattle, WA",14,"1,010","3,059,393",Existing 2016,"$6,604,377","$6,939,479","$9,082,327","$8,126,093","$6,433,211","$8,593,023","$9,712,609","$8,266,938","$15,969,679","$19,554,697","$31,962,983","$18,290,801","$12,947,676","$11,608,063","$14,806,506","$18,193,940","$21,030,199","$20,090,792","$25,076,998","$21,677,219","$22,596,747","$21,626,515","$25,333,502","$20,388,976","$20,726,374","$21,506,189",,,,
2016,00006,0006,Yakima Transit(YT),Active,Full Reporter,Yakima,WA,2010,"Yakima, WA",248,60,"129,534",Existing 2016,"$4,226,544","$5,708,990","$7,037,438","$5,978,458","$4,149,008","$4,245,528","$4,276,633","$4,317,767","$5,070,639","$4,070,409","$4,417,708","$6,897,795","$5,062,526","$6,386,450","$6,243,168","$8,468,237","$6,526,404","$9,458,004","$7,765,408","$9,621,657","$7,954,552","$8,302,449","$8,067,367","$9,614,315","$8,175,710","$10,106,167",,,,
2016,00007,0007,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,"247,421",Existing 2016,"$17,875,132","$13,101,915","$14,583,156","$20,618,831","$16,879,096","$18,140,947","$23,007,237","$26,923,195","$27,418,047","$23,834,966","$26,090,968","$29,289,377","$34,460,161","$38,814,608","$37,889,195","$42,867,587","$50,496,418","$46,970,312","$49,341,891","$70,725,363","$54,430,454","$63,664,291","$48,064,992","$58,228,970","$76,244,948","$99,777,141",,,,
2016,00008,0008,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",Existing 2016,"$146,987,415","$152,334,566","$184,119,738","$251,489,553","$387,793,357","$396,600,790","$403,519,556","$379,963,800","$313,274,940","$356,076,127","$347,847,878","$403,178,037","$396,319,555","$368,637,208","$342,677,729","$391,712,708","$528,447,949","$679,634,859","$604,085,558","$490,284,790","$506,686,323","$649,941,004","$816,061,261","$825,657,935","$665,249,047","$598,297,378",,,,
2016,00011,0011,Valley Regional Transit(VRT),Active,Full Reporter,Meridian,ID,2010,"Boise City, ID",108,134,"349,684",Existing 2016,"$2,014,267","$2,357,405","$2,979,041","$3,062,653","$7,840,320","$4,833,182","$4,133,909","$5,837,343","$4,366,243","$4,854,085","$7,641,796","$9,499,337","$7,280,337","$7,663,635","$8,746,218","$7,741,549","$8,568,826","$10,210,185","$8,635,877","$9,146,829","$11,894,725","$16,369,838","$14,187,418","$15,830,936","$19,479,044","$17,810,031",,,,
2016,00012,0012,Municipality of Anchorage - Public Transportation Department(People Mover),Active,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,"251,243",Existing 2016,"$11,356,595","$11,291,365","$11,490,332","$11,548,206","$11,358,551","$16,817,459","$13,038,144","$14,498,262","$23,464,192","$14,188,365","$15,898,744","$18,820,746","$19,034,379","$23,513,229","$25,618,913","$26,658,580","$30,239,901","$38,505,709","$31,420,620","$39,361,347","$36,287,664","$35,856,873","$38,624,069","$34,138,616","$32,940,887","$32,773,636",,,,
2016,00016,0016,RiverCities Transit(RCT),Active,Full Reporter,Longview,WA,2010,"Longview, WA-OR",431,33,"63,952",Existing 2016,"$931,174","$1,306,430","$1,456,144","$1,759,755",$0,$0,"$1,585,600","$2,155,978","$1,758,356","$1,642,133","$1,733,430","$2,765,012","$2,420,775","$2,119,587","$1,939,171","$2,052,579","$2,490,680","$2,479,783","$2,897,794","$2,832,450","$3,616,685","$3,403,237","$6,991,778","$5,078,891","$4,646,793","$4,526,489",,,,
