"","SCHOOL","PROGRAM","DEGREE","ONLINE","ONCAMPUS","COUNTRY","STATE","CITY","DEPARTMENT","URL","skills"
"1","Auburn University","Online Master of Business Administration with concentration in Business Analytics","M",FALSE,TRUE,"US","AL","Auburn","Raymond J. Harbert College of Business","http://harbert.auburn.edu/academics/online-programs/mba-online/index.php","competitive, confident, dedicated, experience, friendly, leadership, management, organization, research, social"
"2","Auburn University","Data Science","B",FALSE,TRUE,"US","AL","Auburn","Business","http://harbert.auburn.edu/academics/undergraduate/business-analytics/index.php","dedicated, experience, friendly, leadership, management, organization, research, social"
"3","The University of Alabama","Master of Science in Marketing, Specialization in Marketing Analytics","M",TRUE,FALSE,"US","AL","Tuscaloosa","Manderson Graduate School of Business","http://bamabydistance.ua.edu/degrees/ms-in-marketing-with-a-specialization-in-marketing-analytics/index.php","communication, competitive, management, presentation, social, time management, training"
"4","The University of Alabama","MS in Operations Management - Decision Analytics Track","M",FALSE,TRUE,"US","AL","Tuscaloosa","Manderson Graduate School of Business","http://bamabydistance.ua.edu/degrees/ms-in-operations-management-online/curriculum/decision-analytics-track.php","management, presentation, social, training"
"5","The University of Alabama","M.S. degree in Applied Statistics, Data Mining Track","M",FALSE,TRUE,"US","AL","Tuscaloosa","Manderson Graduate School of Business","http://manderson.cba.ua.edu/academics/departments/masters_program/master_of_science_in_applied_statistics",""
"6","The University of Alabama","MBA with concentration in Business Analytics","M",TRUE,FALSE,"US","AL","Tuscaloosa","Culverhouse College of Commerce","http://manderson.cba.ua.edu/academics/departments/mba_program/curriculum",""
"7","Arkansas Tech University","Business Data Analytics","B",FALSE,TRUE,"US","AR","Russellville","Business","http://www.atu.edu/business/programs_bdanalytics.php","research, social"
"8","University of Arkansas","Graduate Certificate in Business Analytics","C",TRUE,FALSE,"US","AR","Fayetteville","Sam M. Walton College of Business","http://gsb.uark.edu/business-analytics-certificate/","competitive, confident, decision making, experience, knowledge management, management, motivated, organization, planning, problem solving, research, social, training"
"9","University of Arkansas","Master of Information Systems with Business Analytics Concentration","M",FALSE,TRUE,"US","AR","Fayetteville","Sam M. Walton College of Business","http://gsb.uark.edu/master-of-information-systems/","competitive, experience, leadership, motivated, problem solving, research, social, training"
"10","University of Arkansas","Professional Master of Information Systems","M",FALSE,TRUE,"US","AR","Fayetteville","Sam M. Walton College of Business","http://online.uark.edu/programs/professional-master-information-systems.html","experience, leadership, management, planning, research, social"
"11","University of Arkansas at Little Rock","Information Quality Program","M",FALSE,TRUE,"US","AR","Little Rock","Information Quality","http://ualr.edu/informationquality/","communication, competitive, dedicated, flexible, management, organization, research"
"12","University of Arkansas at Little Rock","Information Quality Program PhD","D",FALSE,TRUE,"US","AR","Little Rock","Information Quality","http://ualr.edu/informationquality/phd","communication, experience, flexible, organization, research"
"13","Arizona State University","Advanced Analytics in Higher Education","C",TRUE,FALSE,"US","AZ","Tempe","","http://asuonline.asu.edu/online-degree-programs/certificates/graduate-certificate-advanced-analytics-higher-education","decision making, dedicated, experience, leadership, management, planning, presentation, research, social"
"14","Arizona State University","Business Analytics","M",FALSE,TRUE,"US","AZ","Tempe","Business","http://wpcarey.asu.edu/masters-programs/business-analytics","experience, leadership, management, presentation, research, social"
"15","Arizona State University","Business Data Analytics","B",FALSE,TRUE,"US","AZ","Tempe","Business","http://wpcarey.asu.edu/undergraduate-degrees/data-analytics","experience, leadership, management, organization, presentation, research, social"
