"","joblinks.1.500.","soft_skills"
"1","https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0A5GASD7FQQ9dKuC38PxQRRuDRh8QyFgi6cT_KcSdVWAhZFDR_T_P5ofxjPXhFg55vzlGF96FWWSfQv5nyrIXR6DBAa4LK3YVL22RBq1urtk25gKRWo-VxGfSMGCG4jafDAPLtx-Eaxx-TqaMk0FN1kd-qkLcncDEDJbseXueUkPtAny68lvS_pFWlyfKbaxWEiBbyYLSXQaid8vPYwAS2sJzhlnjH-M0-3EZ_TKmITvzYeeRrebI0fZKor_N-ztQgJ8Quvt-Q4U4vxlF540_oU88qspQK6FalEJ_sm_qYzgZojIcybjBzYdKZmRmNGU8VChinD_d_FUNF_ZtE0tJtRCkuNGf9yEPS0eLCHxw4WFOBtY4IDDlW7EHyyJgfjCwN5Ujtj1eVODfLXmXOhCvjWHQJnLlcbK8QrExnC9yBZrxlGCIuesk3-sfkk7Wwkknen0ByGv4OMvwssz0m362jNdDj7xJfrqcLqe999Eri_1fNK1XCmaI-SRPBV1Sw76-w=&p=1&sk=&fvj=0""",""
"2","https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0D9Z_NigMRFBqnj4_9rPbMnaYMSgnKsRu0gcL5XJCnD3UyFbb9GE6jifL7QRCoJpgZH9xboMREbXb_FvWorOJJaso1wnqmuzF23Frml9DanZ-R9vXTmdbuqTaJP60yUSaf5gYte9UxnktAutOApYBP1VX007mjTfkVW9tW3To-CINgwQlclldX2baRrirNcVpwldtQ194y-O-CjzchpMg3lWvGiNf-2evZhcj2kf8zYyGSyqJAip59Ile44bwX-3lcr-ob-H8qzCPWzUHeRf2E1xuTp80Ca6Z8_TbGOuzL2SQ1Cr6OuETwTGmmMjq2kCD22XmkWrPGiKBH3N7T6hQEcctfe1C5VFsbGvcrD3fyJ4NR5kJbfZ96X8QKXGD4Y-FIbfw6dLkDLNO41fTTmSphVm1yvFkEx8X_fkqlUhJKFedLGhH7wQfrGXnsYejCvwwmIi9AQr2xm9oEsJuHG0PEriD_HVD-I1p9LawiwLbfqw6sPAeOW43j6yAoTvFEOb6BDHhW6htvLiNb-_5UDufKh&p=2&sk=&fvj=0""","competitive, experience, motivated, social"
"3","https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DAgAc92q6iRaEfcJAuaSGKVeICOvW3P0dpzElS8ir45AVr2KnXyohmCH6uVD67Lw7QYEKvZTNeU348wGfdhRm8mGzAeJ-igyI1UEL_UqX9SzKXCjnRS1nMiB8xO_SPv8P-8ek0-51tHdJac-XD3CK8VWcnlE7WmUmG5KnmuP40ylnh9FNVUSkuR8Q9B4t1lZjQgZjulmUQ-PorP0_sZcbqR64p4G4__CInCgSj8CeOLfa1fLVlcWebg1YxoGT8hOfP8f_SrwLdp68SD3cItFeQwiFpRudm99WJivMmtXdoyUvITD1JklLhH13y8RviG6eU6zgDmVNvIHAg4gI3CvJaBpL5Km2SeXDe3DrdkgiTpxzWzCSTewaCF_UtUXYQrH8=&p=3&sk=&fvj=0""","communication, experience, organization, planning, scheduling"
"4","https://www.indeed.com//rc/clk?jk=43d9f3e1d901f13c&fccid=10c1f2532daaed15""","competitive, dedicated, flexible, friendly, organization, social"
"5","https://www.indeed.com//rc/clk?jk=f66c5be2eeade208&fccid=de71a49b535e21cb""","able to listen, assertive, collaborating, communication, competitive, confident, customer service, dedicated, delegation, enthusiastic, experience, flexible, friendly, honest, independent, interpersonal, knowledge management, leadership, management, mentoring, motivated, negotiation, organization, planning, presentation, problem solving, process improvement, reliable, research, social, team player, team work, time management, training, verbal communication"
"6","https://www.indeed.com//rc/clk?jk=1b291df707e6bdc6&fccid=b85c5070c3d3d8c8""","communication, confident, experience, innovator, organization, social"
"7","https://www.indeed.com//rc/clk?jk=f79dcd625f8ac522&fccid=42736f33d60d9224""","communication, experience, leadership, organization, presentation, research"
"8","https://www.indeed.com//rc/clk?jk=8326ef0a23fd604b&fccid=a5b4499d9e91a5c6""",""
"9","https://www.indeed.com//rc/clk?jk=9b99f1a66ecd5a25&fccid=1639254ea84748b5""","decision making, experience, presentation, social"
"10","https://www.indeed.com//rc/clk?jk=49dc79722ccae6ca&fccid=39db89979407b486""","collaborating, communication, experience, leadership, management, social"
